Feature	CompGroup(C)	BaseGroup(B)	NumSamplesInC	NumSamplesInB	SignedFC	Tstatistic	Parameter	Pvalue	95%Conf.Int.1	95%Conf.Int.2	MeanC	MeanB	NullValue-DifferenceInMeans	Alternative	Method	FDR
30	229406_at|RBFOX3	Incipent	Control	7	8	-1.39856825174399	-4.08466565234707	12.6521392066412	0.00136108032832201	-0.740628080651115	-0.227273240777456	3.44634471428571	3.930295375	0	two.sided	Welch Two Sample t-test	0.999448188432275
31	224817_at|SH3PXD2A	Incipent	Control	7	8	1.26594204293016	4.18114680765189	11.4246802783708	0.00141413541467773	0.16193057450329	0.518492139782425	5.79233985714286	5.4521285	0	two.sided	Welch Two Sample t-test	0.999448188432275
32	228747_at|SEC61A2	Incipent	Control	7	8	-1.34747060739701	-4.02633433510034	12.9989070170272	0.00143920720947298	-0.661112619307421	-0.199394987835436	7.69935457142857	8.129608375	0	two.sided	Welch Two Sample t-test	0.999448188432275
33	209646_x_at|ALDH1B1	Incipent	Control	7	8	1.21743123486057	4.02509637422706	12.9867732571582	0.00144514751009275	0.131480418735513	0.436200152693058	8.33402628571429	8.050186	0	two.sided	Welch Two Sample t-test	0.999448188432275
34	201137_s_at|HLA-DPB1	Incipent	Control	7	8	2.05555480767552	4.01020881420862	12.9982669861874	0.00148367384574888	0.479508672485683	1.59954700608575	6.02937871428571	4.989850875	0	two.sided	Welch Two Sample t-test	0.999448188432275
35	240436_at|MIPEPP3	Incipent	Control	7	8	-1.48178467834642	-4.00436825641346	12.998839815582	0.00149994824350623	-0.873417971737291	-0.261253671119851	2.34064642857143	2.90798225	0	two.sided	Welch Two Sample t-test	0.999448188432275
36	224419_x_at|PMCHL1	Incipent	Control	7	8	-1.26551091124359	-4.00247680305733	12.9709403124256	0.00151143789317615	-0.523128255485788	-0.156311637371355	1.66751442857143	2.007234375	0	two.sided	Welch Two Sample t-test	0.999448188432275
37	236564_at|LINC01128	Incipent	Control	7	8	1.58936824859675	4.37067439308103	9.59190443881253	0.00154280949430082	0.325705097688191	1.01120175945467	3.02471642857143	2.356263	0	two.sided	Welch Two Sample t-test	0.999448188432275
38	1558793_at|FRY-AS1	Incipent	Control	7	8	1.19888034134762	4.50986955013077	8.81732345098891	0.00154594608517881	0.130009033794475	0.393366311134097	1.89402558971429	1.63233791725	0	two.sided	Welch Two Sample t-test	0.999448188432275
39	1553357_at|FGF13	Incipent	Control	7	8	-1.43189043273909	-4.02214414295087	12.551052801057	0.00155173127624299	-0.797121090897743	-0.238721114709399	6.86132898557143	7.379250088375	0	two.sided	Welch Two Sample t-test	0.999448188432275
40	1558631_at|PPARA	Incipent	Control	7	8	1.39197612402543	4.13876947782941	10.804168809324	0.00171096984799367	0.222833537726655	0.731435393201916	3.68860230471429	3.21146783925	0	two.sided	Welch Two Sample t-test	0.999448188432275
41	236487_at|SCLT1	Incipent	Control	7	8	-1.28696017560879	-3.94200339193999	12.882431618826	0.00171513276487676	-0.563620681983971	-0.164314139444601	2.07473971428571	2.438707125	0	two.sided	Welch Two Sample t-test	0.999448188432275
42	211054_at|INVS	Incipent	Control	7	8	1.27525148941475	4.2436835186126	9.86429402958928	0.00175946840466643	0.166260373828098	0.535303197600474	4.01745428571429	3.6666725	0	two.sided	Welch Two Sample t-test	0.999448188432275
43	1554037_a_at|ZBTB24	Incipent	Control	7	8	-1.26055151257016	-4.14537800970637	10.4390200700508	0.00182011298606064	-0.512591209592093	-0.155518940979334	4.64607862771429	4.980133703	0	two.sided	Welch Two Sample t-test	0.999448188432275
44	214850_at|GUSBP14	Incipent	Control	7	8	1.79880892399226	3.90932009336614	12.8501305122889	0.00183209541830207	0.37839402478467	1.31568986807247	5.54092857142857	4.693886625	0	two.sided	Welch Two Sample t-test	0.999448188432275
45	228365_at|CPNE8	Incipent	Control	7	8	-1.36360391139384	-3.8922007668893	12.9958966704267	0.00185435852792287	-0.695775963202881	-0.199073322511405	1.82170285714286	2.2691275	0	two.sided	Welch Two Sample t-test	0.999448188432275
46	215670_s_at|SCAND2P	Incipent	Control	7	8	1.34814799101985	4.13901041387386	10.1358621923107	0.00195795000083602	0.199392385564589	0.662565364435411	5.641814	5.210835125	0	two.sided	Welch Two Sample t-test	0.999448188432275
47	1552334_at|TRIOBP	Incipent	Control	7	8	1.70326800060274	4.01276700798229	11.1594486494957	0.00198412100272889	0.347626735461611	1.1889841718241	3.18449478514286	2.4161893315	0	two.sided	Welch Two Sample t-test	0.999448188432275
48	227713_at|KATNAL1	Incipent	Control	7	8	-1.59093899684354	-3.84799987135949	12.9916646681689	0.00201739871192744	-1.04599052215266	-0.293766513561628	5.24825685714286	5.918135375	0	two.sided	Welch Two Sample t-test	0.999448188432275
49	204155_s_at|SIK3	Incipent	Control	7	8	1.34964675417983	3.91294654490713	12.1102464314761	0.0020269493610403	0.191953946810671	0.673209767475043	5.40962385714286	4.977042	0	two.sided	Welch Two Sample t-test	0.999448188432275
50	212660_at|JADE2	Incipent	Control	7	8	-1.3514499552661	-4.06538782196458	10.5020972825058	0.00205038247521218	-0.671116966031399	-0.197899212540031	3.81252828571429	4.247036375	0	two.sided	Welch Two Sample t-test	0.999448188432275
