Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM340585,0.0671878905651323,0.0848696543897535,0.125738574730083,0.229013962356927,0,0,0.0275050518358806,0.0400616769897224,0.129785323944431,0,0.0561249570635969,0,0.0355685505259988,0.0605922643800829,0.00190974635024601,0.0497091118618504,0,0.0325689866265749,0,0.0569596594632149,0.00240458891650493,0,0,0.111023755023098,1.04042497127109
GSM340586,0.011767252907598,0,0.0473916077174858,0,0,0.294561007171416,0.0161829959245913,0,0.0603786504497392,0.0460803202068036,0.0766323718465981,0,0.0871971655850798,0,0.00769051405836154,0.136191978570926,0.0431147079838898,0.072166872654176,0,0.100644554923335,0,0,0,0.0833987854984735,1.05249214738221
GSM340587,0.00118167494805857,0,0.0484853905029215,0.180304907253135,0,0.178163982796565,0.0618462021003563,0,0.0574700896638038,0,0.081043877402665,0,0.00146664331279638,0,0.0342036521263891,0.262207547745655,0,0.0523469937063694,0.0411498603068787,0,0,0.000129178134405915,0,0.0374914492415412,1.08090262805852
GSM340588,0.00492354617554004,0,0.0916045436412109,0,0.0177224051767625,0.240701418220488,0,0,0.0251072327716598,0.0229422482113659,0.0582137263938356,0,0.0504635823578782,0,0.0104451441953156,0.137168110968571,0.00598106648911158,0.0554980687923907,0.160612357422175,0.101256829411359,0,0.0173597197723359,0,0.052508850503477,1.05461511320301
GSM340589,0,0,0,0.101458390819816,0,0.113310423953741,0,0.0461762977303262,0.100834644893773,0,0,0.0463813818880309,0.0880806050879607,0,0.00730946018043686,0.118970684921404,0,0.151796327237159,0.215579019368832,0,0,0.0101027639185203,0,0.0218718809241075,1.07294624906354
GSM340590,0,0.0444376567306805,0,0.12892343114851,0,0,0.0479676550036056,0.0870021526825107,0.0197153510082466,0.200498783495096,0,0,0.0792505188827411,0,0.15260525083589,0.102608914071525,0,0.0575311321330889,0.0573246353467863,0.0221345186613203,0,0,0,0.09537137133836,1.07672206713158
GSM340591,0.022666183360193,0,0.0174979434383881,0.00157146499046069,0,0.243566308507802,0,0,0.0829402441156316,0.193230463375315,0,0.0113656492340005,0.0325073010072043,0.0179586658515758,0.0615240237088242,0.0771282859542164,0.0328234175237943,0.0172019392840625,0.188018109648532,0,0,0,0,0.0918912124761697,1.05654625068876
GSM340592,0,0.112469434302469,0,0.0849710344024488,0,0.150139589854084,0.0619217758303674,0,0,0.0131066337042786,0.0341001935696585,0,0.24604144398968,0.00227168847235915,0.0585105193114067,0.107239073858381,0,0.019780984623298,0.10388059838357,0,0,0.00556702969799882,0,0.0546430915612059,1.05878919418856
GSM340593,0,0.0359071437610048,0.0706374367181116,0.0306163160060899,0,0.381196661636883,0.106645192538645,0,0,0.0990523095454079,0.0345941652815313,0,0,0,0,0.166463600727341,0,0.0201313100504534,0,0.0427419271305729,0.0120139366039602,0,0,0.0378386460644735,1.08640157970908
GSM340594,0.0138950428894463,0,0.0290541556033422,0.136082444263871,0,0.201856823482247,0,0,0.0472741741042566,0.0797316345059444,0,0.000628389392040845,0.144252592960426,0.0359214990403375,0.0477487839684816,0.115829749962053,0,0.0122379801597626,0.135486729667791,0,0,0,0,0.0706783727390649,1.05854866609916
GSM340595,0.0503038345413544,0,0.129564757712245,0,0,0.172797755917506,0,0,0.178867915159591,0.212945980555295,0.0129801886387836,0,0.0187560431637023,0.00388418245314847,0.014259961491193,0.0901915491080516,0.0168160908321556,0.0204241020580062,0.0730221198266934,0,0.0051855185422744,0,0,0.0529251301919973,1.07136931179106
GSM340596,0,0.185612726275326,0.0242732761638278,0,0.0737462551079181,0,0.309650929320598,0,0.0281067874667543,0.0103494960296233,0,0.0604586293355327,0,0.00157097181545746,0,0.0508009413293708,0,0.122914989331796,0.123480060166981,0,0,0.00903493765681387,0,0.0064239853636692,1.07810377141448
GSM340597,0.07341346052461,0,0.0702270860009467,0,0,0.333352648705066,0.0168681982370593,0,0,0.062595693252139,0,0.0234041103851592,0.0697335673657042,0.0248981034649733,0.0426634908354789,0.12729819557513,0.0581720687164776,0.0508940008837578,0,0.0209736088843176,0.0255057671691798,0,0,0.0567046413641039,1.05770947181668
GSM340598,0.016585138692498,0,0.0728473386776751,0.00150398079253983,0,0.41754875418519,0.0180953592283702,0,0,0,0.0180020382945892,0.0533272944468654,0.0813490779084387,0.0321074463216347,0.0223606898359586,0.142818977228887,0,0.0248001242722013,0.0848170874556972,0,0.0138366926594548,0,0,0.0563887554123066,1.06204934981467
GSM340599,0,0.0384652344974325,0.0177443427332287,0.0537379108054729,0,0.245315714618905,0.0853877074587247,0,0.206068595654509,0.00433009998444541,0.00651778448896458,0,0.011907983122563,0,0,0.239110199227408,0.00709858223637502,0.0843158451719711,0,0,0,0,0,0.0441071322200405,1.08015522264678
GSM340600,0.0316183662723897,0.189654212635132,0.166902194732475,0.0166766431572697,0.0395261982142277,0.0065440586790573,0.0304872817623929,0.00611229750450158,0.108673235348979,0.0086215520642719,0.0518951713736812,0,0.085004929796451,0.0264741120631435,0.0105970135650278,0.125435059624954,0,0.065796320069021,0.0299813531370243,0,0,0,0,0.0999732952558343,1.02651821127118
GSM340601,0.00851667050461383,0.0412496917113805,0.0746806128462948,0.0351530462934867,0.0999553542789175,0.00363939441539919,0,0.0392475418354904,0.111466139877045,0.104056346655184,0,0.0258629175972928,0.0258005666923872,0.0325355445029578,0.0491919775552496,0.240955858539229,0,0.064021473440867,0.0436668632542046,0,0,0,0,0.0294818833108809,1.06978034939519
GSM340602,0.0188055528891325,0,0,0.0529417258465494,0,0.206281368492314,0,0,0.0520749247019836,0.0930908248615643,0,0.0673480707587328,0.0339122171782348,0.206196699520505,0.0775208119849373,0.0721357667481923,0,0.0217085619089777,0.0979834751088764,0,0,0,0,0.232363421577815,1.00201959960368
GSM340603,0,0.0107437568578401,0,0.0808112498976783,0,0.136222066413238,0.0928783328795011,0,0.0995219814520919,0,0.097731469307982,0,0.050939165036714,0.219396813166636,0.0499092925155765,0.137125394790595,0,0,0,0.0247204776821478,0,0,0,0.0707388140770651,1.07440619507119
GSM340604,0.0288311997463186,0,0,0.0556452398458471,0,0.12830761615364,0,0,0.051191816735399,0,0.072877683468883,0,0.0649459772897942,0,0.0516641031291048,0.159130424644873,0.0171762141056629,0.0421288752153519,0.306596599987466,0.0215042496776595,0,0,0,0.0665472339355858,1.05457215821874
